Start Station,End Station,Probability
11 St & Washington St,11 St & Washington St,0.078150798
11 St & Washington St,12 St & Sinatra Dr N,0.02421574
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,0.026417171
11 St & Washington St,4 St & Grand St,0.025866813
11 St & Washington St,6 St & Grand St,0.013758943
11 St & Washington St,7 St & Monroe St,0.020913594
11 St & Washington St,8 St & Washington St,0.024766098
11 St & Washington St,9 St HBLR - Jackson St & 8 St,0.031370391
11 St & Washington St,Adams St & 11 St,0.013758943
11 St & Washington St,Adams St & 2 St,0.029719318
11 St & Washington St,Baldwin at Montgomery,0.000550358
11 St & Washington St,Bloomfield St & 15 St,0.013758943
11 St & Washington St,Brunswick & 6th,0.001100715
11 St & Washington St,Brunswick St,0.001100715
11 St & Washington St,Church Sq Park - 5 St & Park Ave,0.030269675
11 St & Washington St,City Hall,0.001100715
11 St & Washington St,City Hall - Washington St & 1 St,0.077050083
11 St & Washington St,Clinton St & 7 St,0.011007155
11 St & Washington St,Clinton St & Newark St,0.025866813
11 St & Washington St,Columbus Dr at Exchange Pl,0.006053935
11 St & Washington St,Columbus Drive,0.001100715
11 St & Washington St,Columbus Park - Clinton St & 9 St,0.008255366
11 St & Washington St,Dixon Mills,0.001100715
11 St & Washington St,Essex Light Rail,0.000550358
11 St & Washington St,Grand St,0.001651073
11 St & Washington St,Grand St & 14 St,0.013208586
11 St & Washington St,Grove St PATH,0.002201431
11 St & Washington St,Hamilton Park,0.002751789
11 St & Washington St,Harborside,0.003852504
11 St & Washington St,Heights Elevator,0.005503577
11 St & Washington St,Hilltop,0.000550358
11 St & Washington St,Hoboken Ave at Monmouth St,0.016510732
11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,0.085305449
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,0.061089708
11 St & Washington St,Hudson St & 4 St,0.0533847
11 St & Washington St,JC Medical Center,0.000550358
11 St & Washington St,Jersey & 3rd,0.002201431
11 St & Washington St,Jersey & 6th St,0.007154651
11 St & Washington St,Journal Square,0.000550358
11 St & Washington St,Leonard Gordon Park,0.000550358
11 St & Washington St,Lexington Ave & E 24 St,0.000550358
11 St & Washington St,Madison St & 1 St,0.023115025
11 St & Washington St,Madison St & 10 St,0.023115025
11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,0.012658228
11 St & Washington St,Manila & 1st,0.003302146
11 St & Washington St,Marin Light Rail,0.001651073
11 St & Washington St,Marshall St & 2 St,0.013758943
11 St & Washington St,Monmouth and 6th,0.002201431
11 St & Washington St,Montgomery St,0.000550358
11 St & Washington St,Newark Ave,0.002201431
11 St & Washington St,Newport PATH,0.012658228
11 St & Washington St,Newport Pkwy,0.013208586
11 St & Washington St,Oakland Ave,0.001651073
11 St & Washington St,Paulus Hook,0.000550358
11 St & Washington St,Pershing Field,0.000550358
11 St & Washington St,Riverview Park,0.003852504
11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,0.095211888
11 St & Washington St,Southwest Park - Jackson St & Observer Hwy,0.009906439
11 St & Washington St,Stevens - River Ter & 6 St,0.01706109
11 St & Washington St,Van Vorst Park,0.001651073
11 St & Washington St,Warren St,0.008805724
11 St & Washington St,Washington St,0.008805724
11 St & Washington St,West St & Chambers St,0.000550358
11 St & Washington St,Willow Ave & 12 St,0.017611447
12 St & Sinatra Dr N,11 St & Washington St,0.020675944
12 St & Sinatra Dr N,12 St & Sinatra Dr N,0.225049702
12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,0.025447316
12 St & Sinatra Dr N,4 St & Grand St,0.016699801
12 St & Sinatra Dr N,6 St & Grand St,0.006759443
12 St & Sinatra Dr N,7 St & Monroe St,0.011928429
12 St & Sinatra Dr N,8 St & Washington St,0.024254473
12 St & Sinatra Dr N,9 St HBLR - Jackson St & 8 St,0.016302187
12 St & Sinatra Dr N,Adams St & 11 St,0.007554672
12 St & Sinatra Dr N,Adams St & 2 St,0.013121272
12 St & Sinatra Dr N,Baldwin at Montgomery,0.000397614
12 St & Sinatra Dr N,Bloomfield St & 15 St,0.009145129
12 St & Sinatra Dr N,Brunswick & 6th,0.001590457
12 St & Sinatra Dr N,Brunswick St,0.001590457
12 St & Sinatra Dr N,Christ Hospital,0.000795229
12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,0.018290258
12 St & Sinatra Dr N,City Hall - Washington St & 1 St,0.027833002
12 St & Sinatra Dr N,Clinton St & 7 St,0.008747515
12 St & Sinatra Dr N,Clinton St & Newark St,0.014314115
12 St & Sinatra Dr N,Columbus Dr at Exchange Pl,0.006759443
12 St & Sinatra Dr N,Columbus Drive,0.0027833
12 St & Sinatra Dr N,Columbus Park - Clinton St & 9 St,0.012723658
12 St & Sinatra Dr N,Dixon Mills,0.000397614
12 St & Sinatra Dr N,Essex Light Rail,0.002385686
12 St & Sinatra Dr N,Fairmount Ave,0.000795229
12 St & Sinatra Dr N,Grand St,0.0055666
12 St & Sinatra Dr N,Grand St & 14 St,0.013121272
12 St & Sinatra Dr N,Greenwich St & Hubert St,0.000397614
12 St & Sinatra Dr N,Greenwich St & W Houston St,0.000397614
12 St & Sinatra Dr N,Grove St PATH,0.001590457
12 St & Sinatra Dr N,Hamilton Park,0.0027833
12 St & Sinatra Dr N,Harborside,0.0055666
12 St & Sinatra Dr N,Heights Elevator,0.001192843
12 St & Sinatra Dr N,Hilltop,0.0055666
12 St & Sinatra Dr N,Hoboken Ave at Monmouth St,0.010735586
12 St & Sinatra Dr N,Hoboken Terminal - Hudson St & Hudson Pl,0.02027833
12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,0.067196819
12 St & Sinatra Dr N,Hudson St & 4 St,0.05526839
12 St & Sinatra Dr N,Jersey & 3rd,0.000397614
12 St & Sinatra Dr N,Jersey & 6th St,0.000795229
12 St & Sinatra Dr N,Lafayette Park,0.000397614
12 St & Sinatra Dr N,Leonard Gordon Park,0.000795229
12 St & Sinatra Dr N,Liberty Light Rail,0.000397614
12 St & Sinatra Dr N,Madison St & 1 St,0.014314115
12 St & Sinatra Dr N,Madison St & 10 St,0.013916501
12 St & Sinatra Dr N,Mama Johnson Field - 4 St & Jackson St,0.001988072
12 St & Sinatra Dr N,Manila & 1st,0.001192843
12 St & Sinatra Dr N,Marin Light Rail,0.0027833
12 St & Sinatra Dr N,Marshall St & 2 St,0.003976143
12 St & Sinatra Dr N,Monmouth and 6th,0.000397614
12 St & Sinatra Dr N,Morris Canal,0.001590457
12 St & Sinatra Dr N,Newark Ave,0.001590457
12 St & Sinatra Dr N,Newport PATH,0.007952286
12 St & Sinatra Dr N,Newport Pkwy,0.019483101
12 St & Sinatra Dr N,North Moore St & Greenwich St,0.000795229
12 St & Sinatra Dr N,Oakland Ave,0.000397614
12 St & Sinatra Dr N,Paulus Hook,0.001590457
12 St & Sinatra Dr N,Pershing Field,0.001590457
12 St & Sinatra Dr N,Riverview Park,0.001988072
12 St & Sinatra Dr N,South St & Whitehall St,0.000397614
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,0.210337972
12 St & Sinatra Dr N,Southwest Park - Jackson St & Observer Hwy,0.007554672
12 St & Sinatra Dr N,Stevens - River Ter & 6 St,0.012326044
12 St & Sinatra Dr N,Van Vorst Park,0.001192843
12 St & Sinatra Dr N,Vesey Pl & River Terrace,0.000397614
12 St & Sinatra Dr N,Warren St,0.007952286
12 St & Sinatra Dr N,Washington St,0.007952286
12 St & Sinatra Dr N,West St & Chambers St,0.000397614
12 St & Sinatra Dr N,Willow Ave & 12 St,0.007157058
14 St Ferry - 14 St & Shipyard Ln,11 St & Washington St,0.025606469
14 St Ferry - 14 St & Shipyard Ln,12 St & Sinatra Dr N,0.044025157
14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,0.155884996
14 St Ferry - 14 St & Shipyard Ln,4 St & Grand St,0.014375562
14 St Ferry - 14 St & Shipyard Ln,6 St & Grand St,0.00853549
14 St Ferry - 14 St & Shipyard Ln,7 St & Monroe St,0.009433962
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,0.034141959
14 St Ferry - 14 St & Shipyard Ln,9 St HBLR - Jackson St & 8 St,0.017070979
14 St Ferry - 14 St & Shipyard Ln,Adams St & 11 St,0.013477089
14 St Ferry - 14 St & Shipyard Ln,Adams St & 2 St,0.018867925
14 St Ferry - 14 St & Shipyard Ln,Baldwin at Montgomery,0.000898473
14 St Ferry - 14 St & Shipyard Ln,Bergen Ave & Stegman St,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Bloomfield St & 15 St,0.010781671
14 St Ferry - 14 St & Shipyard Ln,Brunswick & 6th,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Brunswick St,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Christ Hospital,0.000898473
14 St Ferry - 14 St & Shipyard Ln,Church Sq Park - 5 St & Park Ave,0.022012579
14 St Ferry - 14 St & Shipyard Ln,City Hall - Washington St & 1 St,0.033692722
14 St Ferry - 14 St & Shipyard Ln,Clinton St & 7 St,0.014824798
14 St Ferry - 14 St & Shipyard Ln,Clinton St & Newark St,0.017969452
14 St Ferry - 14 St & Shipyard Ln,Columbus Dr at Exchange Pl,0.002246181
14 St Ferry - 14 St & Shipyard Ln,Columbus Drive,0.001347709
14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,0.017070979
14 St Ferry - 14 St & Shipyard Ln,Communipaw & Berry Lane,0.000898473
14 St Ferry - 14 St & Shipyard Ln,Dey St,0.000449236
14 St Ferry - 14 St & Shipyard Ln,E 59 St & Madison Ave,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Essex Light Rail,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Glenwood Ave,0.000449236
14 St Ferry - 14 St & Shipyard Ln,Grand St,0.005840072
